Slide_code,Year,Site,meanLi7,meanNa23,meanMg24,meanAl27,meanP31,meanK39,meanMn55,meanFe57,meanCu65,meanZn66,meanRb85,meanSr88,meanBa138
S1C3,2020,Waitahuna River,7.022453028687041e-4,15.417586583090118,0.14405276218404645,1.6298752232103437e-4,0.9664601686891554,3.2284717594313985,0.018674423276597876,0.04567274359596654,7.252382589341332e-5,0.12485552121383375,5.673040473377791e-4,1.9654399618159633,0.006378529129072373
S1C4,2020,Tuapeka Upper,7.231197966534467e-4,16.42897372468438,0.19751389533623567,1.2993753025701337e-4,1.6644332262328274,4.529798360960583,0.04419035547958711,0.04179286404197986,5.10182345220721e-5,0.10189704134078777,7.310179456108403e-4,1.254419188660772,0.006972627384553501
S1C5,2020,Low Burn,6.380642843371653e-4,18.561909263883187,0.10964847339364277,2.5386624904027007e-4,0.25878937710627087,4.317133762134958,0.025753513184018015,0.03863188308347116,3.51431794137218e-5,0.11215277959350496,3.7212966684232183e-4,1.3516164612435795,0.00800010576479446
S1C6,2020,Coal Creek,0.0011394841893087276,19.11585072468474,0.09147423486905516,4.0735429218207353e-4,0.5589725265407708,4.945901289514308,0.012649182179727101,0.03752645393463507,7.330184979987318e-5,0.10323068590992118,4.395974470463736e-4,1.1654607826974348,0.004015176356548501
S1C7,2020,Canadian Creek,6.897243165533719e-4,18.59929151475238,0.09624106925211227,7.790310198699445e-5,0.44097714421305745,5.434987122942276,0.0340723560161463,0.04942151303303696,4.4404896298576466e-5,0.1119998768848836,6.984815586195831e-4,1.5546840863847926,0.005532670311283021
S1C8,2020,Canadian Creek,0.0022902036768057315,19.123843590073427,0.0858443265549797,1.1896484199217692e-4,0.2578926560456712,5.27141244985907,0.03433910616100363,0.03618720084179698,6.862777265185091e-5,0.12338202246419958,7.496412599779466e-4,1.5786491258115047,0.0062022031217791734
S1C8,2020,Canadian Creek,0.0022902036768057315,19.123843590073427,0.0858443265549797,1.1896484199217692e-4,0.2578926560456712,5.27141244985907,0.03433910616100363,0.03618720084179698,6.862777265185091e-5,0.12338202246419958,7.496412599779466e-4,1.5786491258115047,0.0062022031217791734
S1C9,2020,Jimmys Creek,0.0015934792463682657,19.615838609098986,0.07223877078936569,1.1763109915914293e-4,0.2856076496008924,5.27466832679744,0.02292818332241392,0.03459408082141788,4.3591249922331335e-5,0.11762840383284051,4.1022614481711243e-4,2.083661655319405,0.018028717301572864
S1C9,2020,Jimmys Creek,0.0015934792463682657,19.615838609098986,0.07223877078936569,1.1763109915914293e-4,0.2856076496008924,5.27466832679744,0.02292818332241392,0.03459408082141788,4.3591249922331335e-5,0.11762840383284051,4.1022614481711243e-4,2.083661655319405,0.018028717301572864
S1D1,2020,Benger Burn,7.194210631581489e-4,17.76570273896056,0.17220415268651246,8.062021368522475e-4,1.167741569291918,4.844999463099977,0.02217497895751718,0.055196098639226684,1.1071516057451328e-4,0.0878862041446751,4.6761256889717357e-4,1.555052758868186,0.005844163358923322
S1D10,2020,Blackcleugh Burn,5.820610259071742e-4,20.246501667057046,0.08780673465550423,1.0927307885190741e-4,0.4093082302637438,5.954910664388007,0.013818209335782324,0.034257048558487435,4.5940888555922e-5,0.19196485275857544,4.926674401787057e-4,1.406691482241034,0.020107591712086374
S1D10,2020,Blackcleugh Burn,5.820610259071742e-4,20.246501667057046,0.08780673465550423,1.0927307885190741e-4,0.4093082302637438,5.954910664388007,0.013818209335782324,0.034257048558487435,4.5940888555922e-5,0.19196485275857544,4.926674401787057e-4,1.406691482241034,0.020107591712086374
S1D11,2020,Carsons Creek,0.0015736162177994804,18.486057162748605,0.0670859372541632,0.0026478778227946287,0.6263053887724923,4.965819629279842,0.008078686596374845,0.03350351376972067,6.133621517698278e-5,0.12377554389803312,4.5128641906912e-4,1.7134565652668363,0.01064720944005266
S1D12,2020,Back Stream,0.001088014255929272,20.04119504632625,0.0954899564796782,0.001267993287834152,0.45699417384966556,7.154635718826156,0.010363569580314686,0.033200288236348525,6.08637906551008e-5,0.12161946898911102,0.002205293813297431,2.9193110244166953,0.05859477866708825
S1D13,2020,Back Stream,0.0010441295352482162,19.320215730290425,0.09897538559361416,1.1223323623312214e-4,0.42340502978659583,6.386992613892063,0.012777474604449134,0.03248917675686829,6.298325800104677e-5,0.10654887421360164,0.0018526730572672823,2.6821493136664203,0.03964420278224353
S1D13,2020,Back Stream,0.0010441295352482162,19.320215730290425,0.09897538559361416,1.1223323623312214e-4,0.42340502978659583,6.386992613892063,0.012777474604449134,0.03248917675686829,6.298325800104677e-5,0.10654887421360164,0.0018526730572672823,2.6821493136664203,0.03964420278224353
